top,base,lithology
2208,2208.08,nc
2208.08,2208.13,sh
2208.13,2208.59,s
2208.59,2208.63,bs
2208.63,2208.69,sh
2208.69,2208.73,s
2208.73,2209.04,nc
2209.04,2209.07,is
2209.07,2209.27,s
2209.27,2209.41,sh
2209.41,2209.45,ih
2209.45,2209.82,s
2209.82,2209.85,sh
2209.85,2209.9,s
2209.9,2209.93,ih
2209.93,2210.05,bs
2210.05,2210.248,s
2210.248,2210.42,ih
2210.42,2210.5,sh
2210.5,2210.83,is
2210.83,2210.96,s
2210.96,2211.32,nc
2211.32,2211.75,s
2211.75,2211.82,nc
2211.82,2211.87,ih
2211.87,2211.95,is
2211.95,2212.048,nc
2212.048,2212.11,s
2212.11,2212.26,is
2212.26,2212.56,ih
2212.56,2212.87,s
2212.87,2212.93,bs
2212.93,2213.05,nc
2213.05,2213.23,s
2213.23,2213.5,sh
2213.5,2213.585,is
2213.585,2213.67,ih
2213.67,2213.73,s
2213.73,2213.775,sh
2213.775,2213.9,s
2213.9,2213.97,ih
2213.97,2214.025,nc
2214.025,2214.145,is
2214.145,2214.33,ih
2214.33,2214.41,is
2214.41,2214.47,sh
2214.47,2214.7,is
2214.7,2214.72,bs
2214.72,2214.77,sh
2214.77,2214.79,s
2214.79,2214.88,sh
2214.88,2214.96,s
2214.96,2215.11,nc
2215.11,2215.14,s
2215.14,2215.25,ih
2215.25,2215.29,s
2215.32,2215.42,sh
2215.42,2215.52,s
2215.52,2215.95,sh
2215.95,2216.04,nc
2216.04,2216.23,sh
2216.23,2216.28,is
2216.28,2216.47,s
2216.47,2216.71,is
2216.71,2216.78,sh
2216.78,2216.85,ih
2216.85,2216.95,sh
2216.95,2217.05,nc
2217.05,2217.34,ih
2217.34,2217.47,s
2217.47,2217.62,bs
2217.62,2217.69,sh
2217.69,2217.699,s
2217.699,2217.78,ih
2217.78,2217.92,s
2217.92,2218.27,nc
2218.27,2218.9,s
2218.9,2219.03,bs
2219.03,2219.07,s
2219.07,2219.13,sh
2219.13,2219.9,s
2219.9,2219.95,is
2219.95,2219.97,s
2219.97,2220.245,nc
2220.245,2220.44,s
2220.44,2220.65,is
2220.65,2220.7,ih
2220.7,2221.2,nc
