top,base,lithology
2673.000,2673.021,nc
2673.021,2673.521,s
2673.521,2673.921,sh
2673.921,2674.850,s
2674.850,2674.879,nc
2674.879,2674.901,ih
2674.901,2674.949,s
2674.949,2675.000,nc
2675.000,2675.071,ih
2675.071,2675.371,s
2675.371,2675.419,is
2675.419,2676.920,s
2676.920,2677.010,nc
2677.010,2677.921,s
2677.921,2678.015,nc
2678.015,2678.101,is
2678.101,2678.200,s
2678.200,2678.469,ih
2678.469,2678.531,bs
2678.531,2678.949,s
2678.949,2679.229,nc
2679.229,2679.471,is
2679.471,2679.949,s
2679.949,2680.065,nc
2680.065,2680.369,s
2680.369,2681.231,nc
2681.231,2681.934,s
2681.934,2682.021,nc
2682.021,2682.951,s
2682.951,2683.009,nc
2683.009,2683.639,s
2683.639,2684.010,nc
2684.010,2684.451,s
2684.451,2684.599,is
2684.599,2684.941,ih
2684.941,2684.998,nc
