top,base,lithology
2673,2673.02,nc
2673.02,2673.52,s
2673.52,2673.92,sh
2673.92,2674.85,s
2674.85,2674.88,nc
2674.88,2674.9,ih
2674.9,2674.95,s
2674.95,2675,nc
2675,2675.07,ih
2675.07,2675.37,s
2675.37,2675.42,is
2675.42,2675.95,s
2675.95,2627.27,nc
2627.27,2676.92,s
2676.92,2677.01,nc
2677.01,2677.92,s
2677.92,2678.015,nc
2678.015,2678.1,is
2678.1,2678.2,s
2678.2,2678.47,ih
2678.47,2678.53,bs
2678.53,2678.95,s
2678.95,2679.23,nc
2679.23,2679.47,is
2679.47,2679.95,s
2679.95,2680.065,nc
2680.065,2680.37,s
2680.37,2680.95,nc
2680.95,2681.23,nc
2681.23,2681.935,s
2681.935,2682.02,nc
2682.02,2682.95,s
2682.95,2683.01,nc
2683.01,2683.64,s
2683.64,2684.01,nc
2684.01,2684.45,s
2684.45,2684.6,is
2684.6,2684.94,ih
2684.94,2685,nc
