top,base,lithology,
2175,2175.47,nc,
2175.47,2175.59,is,
2175.59,2176.86,ih,
2176.86,2177.02,nc,
2177.02,2177.08,ih,
2177.08,2177.14,is,
2177.14,2177.27,ih,
2177.27,2177.3,is,
2177.3,2177.93,ih,
2177.93,2178.18,nc,
2178.18,2178.33,ih,
2178.33,2178.36,nc,
2178.36,2178.87,is,
2178.87,2178.96,ih,
2178.96,2179.01,nc,
2179.01,2179.47,ih,
2179.47,2179.79,nc,
2179.79,2179.945,ih,
2179.945,2180.045,nc,
2180.045,2180.61,ih,
2180.61,2181.03,nc,
2181.03,2181.96,sh,
2181.96,2182.35,nc,
2182.35,2182.42,ih,
2182.42,2182.95,sh,
2182.95,2183.07,nc,
2183.07,2183.33,sh,
2183.33,2183.39,ih,
2183.39,2183.97,sh,
2183.97,2184.025,nc,
2184.025,2184.98,ih,
2184.98,2185.045,nc,
2185.045,2185.74,ih,
2185.74,2185.99,sh,
2185.99,2186.07,nc,
2186.07,2186.19,sh,
2186.19,2186.21,ih,
2186.21,2186.41,s,
2186.41,2186.86,sh,
2186.86,2187.02,nc,
2187.02,2187.058,is,
2187.058,2187.51,ih,
2187.51,2187.78,is,
2187.78,2188.06,nc,
2188.06,2188.35,s,
2188.35,2188.76,sh,
2188.76,2188.935,is,
2188.935,2188.98,ih,
2188.98,2189.04,nc,
2189.04,2189.65,sh,
2189.65,2189.68,nc,
2189.68,2189.79,is,
2189.79,2189.87,sh,
2189.87,2190.03,nc,
2190.03,2190.98,sh,
2190.98,2191.04,nc,
2191.04,2191.2,is,start
2191.2,2191.53,nc,
2191.53,2191.67,is,
2191.67,2191.88,ih,
2191.88,2191.99,is,
2191.99,2192.04,nc,
2192.04,2192.97,ih,
2192.97,2193.02,nc,
2193.02,2193.35,ih,
2193.35,2193.49,is,
2193.49,2193.58,s,
2193.58,2193.71,sh,
2193.71,2194.06,nc,
2194.06,2194.98,ih,
2194.98,2195.04,nc,
2195.04,2195.39,sh,
2195.39,2195.84,ih,
2195.84,2195.99,is,
2195.99,2196.09,nc,
2196.09,2196.21,is,
2196.21,2196.22,is,
2196.22,2196.99,s,
2196.99,2197.34,nc,
2197.34,2197.76,is,
2197.76,2197.78,is,
2197.78,2197.97,s,
2197.97,2198.31,nc,
2198.31,2198.43,s,
2198.43,2198.48,nc,
2198.48,2198.9,s,
2198.9,2198.97,ih,
2198.97,2199.02,nc,
2199.02,2199.04,is,
2199.04,2199.96,s,
2199.96,2200.07,nc,
2200.07,2200.31,s,
2200.31,2200.9,is,
2200.9,2201,nc,
