top,base,lithology,
2211,2211.36,nc,
2211.36,2211.85,s,
2211.85,2211.97,is,
2211.97,2212.065,nc,
2212.065,2212.32,is,
2212.32,2212.735,s,
2212.735,2212.97,is,
2212.97,2213.04,nc,
2213.04,2213.16,is,
2213.16,2213.25,s,
2213.25,2213.36,is,
2213.36,2213.88,s,
2213.88,2213.95,bs,
2213.95,2214.35,nc,
2214.35,2214.94,s,
2214.94,2215.03,nc,
2215.03,2215.975,s,
2215.975,2216.31,nc,
2216.31,2216.96,s,
2216.96,2217.04,nc,
2217.04,2217.63,s,
2217.63,2217.71,is,
2217.71,2217.96,s,
2217.96,2218.105,nc,
2218.105,2218.7,s,
2218.7,2219.02,nc,
2219.02,2219.93,s,
2219.93,2220.07,nc,
2220.07,2220.94,sh,
2220.94,2221.03,nc,
2221.03,2221.24,sh,
2221.24,2221.32,is,
2221.32,2221.86,sh,
2221.86,2222.03,nc,
2222.03,2222.97,sh,
2222.97,2223.03,nc,
2223.03,2223.99,sh,
2223.99,2224.05,nc,
2224.05,2224.48,sh,
2224.48,2224.55,ih,
2224.55,2224.64,is,
2224.64,2224.68,ih,
2224.68,2224.74,is,
2224.74,2224.98,s,
2224.98,2225.04,nc,
2225.04,2225.58,s,
2225.58,2226.03,nc,
2226.03,2226.37,ih,
2226.37,2226.59,is,
2226.59,2226.88,s,
2226.88,2226.96,bs,
2226.96,2227.02,nc,
2227.02,2227.98,s,
2227.98,2228.03,nc,
2228.03,2228.95,s,
2228.95,2229.12,nc,
2229.12,2229.19,s,
2229.19,2229.23,nc,
2229.23,2229.45,s,
2229.45,2229.56,is,
2229.56,2229.62,s,
2229.62,2230,nc,
2416,2416.27,nc,
2416.27,2416.64,ih,
2416.64,2416.99,sh,
2416.99,2417.05,nc,
2417.05,2417.4,sh,
2417.4,2417.54,nc,
2417.54,2417.93,sh,
2417.93,2418.02,nc,
2418.02,2418.85,sh,
2418.85,2419.05,nc,
2419.05,2419.93,sh,
2419.93,2420.11,nc,
2420.11,2420.27,sh,
2420.27,2427.47,ih,
2427.47,2420.89,ih,
2420.89,2421,is,
2421,2421.04,nc,
2421.04,2421.09,is,
2421.09,2421.62,ih,
2421.62,2421.95,is,
2421.95,2422.03,nc,
2422.03,2422.07,is,
2422.07,2422.1,ih,
2422.1,2422.12,nc,
2422.12,2422.93,is,
2422.93,2423.05,nc,
2423.05,2432.14,is,
2432.14,2423.39,s,
2423.39,2423.76,is,
2423.76,2423.85,nc,
2423.85,2423.86,s,
2423.86,2423.98,is,
2423.98,2424.03,nc,
2424.03,2424.55,ih,
2424.55,2424.72,sh,
2424.72,2424.87,nc,
2424.87,2424.985,ih,
2424.985,2425.035,nc,
2425.035,2425.3,is,
2425.3,2425.46,ih,
2425.46,2425.55,s,
2425.55,2425.6,nc,
2425.6,2425.94,s,
2425.94,2426.03,nc,
2426.03,2426.94,s,
2426.94,2427,nc,
2431,2431.33,nc,
2431.33,2431.555,is,
2431.555,2431.6,s,
2431.6,2431.62,ih,
2431.62,2431.77,s,
2431.77,2431.79,is,
2431.79,2431.85,s,
2431.85,2431.87,ih,
2431.87,2431.92,s,
2431.92,2431.95,is,
2431.95,2431.99,s,
2431.99,2432.04,nc,
2432.04,2432.06,s,
2432.06,2432.08,is,
2432.08,2432.13,s,
2432.13,2432.16,is,
2432.16,2432.34,s,
2432.34,2432.37,sh,
2432.37,2432.41,s,
2432.41,2432.43,ih,
2432.43,2432.53,s,
2432.53,2432.535,ih,
