top,base,lithology,
1812,1812.025,nc,
1812.025,1812.27,ih,
1812.27,1812.37,bs,
1812.37,1812.91,ih,
1812.91,1813.05,nc,
1813.05,1813.35,ih,
1813.35,1813.365,nc,
1813.365,1813.67,ih,
1813.67,1813.7,s,
1813.7,1813.99,ih,
1813.99,1814.05,nc,
1814.05,1814.8,is,
1814.8,1814.915,ih,
1814.915,1815.04,nc,
1815.04,1815.13,s,
1815.13,1815.98,ih,
1815.98,1816.05,nc,
1816.05,1816.8,is,
1816.8,1816.95,ih,
1816.95,1816.255,nc,
1816.255,1817.34,ih,
1817.34,1817.405,nc,
1817.405,1817.45,ih,
1817.45,1817.85,s,
1817.85,1817.97,ih,
1817.97,1818.04,nc,
1818.04,1818.36,is,
1818.36,1818.54,ih,
1818.54,1818.71,is,
1818.71,1818.91,ih,
1818.91,1818.97,is,
1818.97,1819.23,nc,
1819.23,1819.32,is,
1819.32,1819.345,nc,
1819.345,1819.38,is,
1819.38,1819.51,nc,
1819.51,1819.75,is,
1819.75,1819.81,nc,
1819.81,1819.96,nc,
1819.96,1820.29,nc,
1820.29,1820.92,is,
1820.92,1821.285,nc,
1821.285,1821.98,ih,
1821.98,1822.09,nc,
1822.09,1822.97,ih,
1822.97,1823.04,nc,
1823.04,1823.9,ih,
1823.9,1824.04,nc,
1824.04,1824.77,is,
1824.77,1825.045,nc,
1825.045,1825.96,is,
1825.96,1826.04,nc,
1826.04,1826.24,is,
1826.24,1826.35,bs,
1826.35,1826.94,is,
1826.94,1827.04,nc,
1827.04,1827.46,s,start
1827.46,1827.52,nc,
1827.52,1827.56,ih,
1827.56,1827.81,nc,
1827.81,1827.92,ih,
1827.92,1828.05,nc,
1828.05,1828.86,ih,
1828.86,1828.94,is,
1828.94,1829.07,nc,
1829.07,1829.29,is,
1829.29,1829.32,nc,
1829.32,1829.62,is,
1829.62,1829.71,ih,
1829.71,1829.94,is,
1829.94,1830.04,nc,
1830.04,1830.59,ih,
1830.59,1830.75,is,
1830.75,1830.96,sh,
1830.96,1831.26,nc,
1831.26,1831.52,is,
1831.52,1831.79,ih,
1831.79,1831.9,is,
1831.9,1831.99,ih,
1831.99,1832.04,nc,
1832.04,1832.06,sh,
1832.06,1832.17,is,
1832.17,1832.49,ih,
1832.49,1832.97,is,
1832.97,1833.24,nc,
1833.24,1833.41,is,
1833.41,1833.68,ih,
1833.68,1833.93,is,
1833.93,1834.26,nc,
1834.26,1834.94,is,
1834.94,1835.04,nc,
1835.04,1835.44,is,
1835.44,1835.52,ih,
1835.52,1835.98,is,
1835.98,1836.27,nc,
1836.27,1836.32,is,
1836.32,1836.37,ih,
1836.37,1836.57,is,
1836.57,1836.8,ih,
1836.8,1836.91,is,
1836.91,1837.06,nc,
1837.06,1837.68,ih,
1837.68,1839,nc,
